,video_name,question,answer
18406,hg8WbkmC2nU,какого цвета зародыш торта используют люди в серой одежде,красный
5634,mTmcz5NWNQA,что перед игроком в гоночном костюме,отслеживать
5955,M1_4oDuh2as,что перед человеком на видео,стекло
17480,-rwKyNnz89s,"что произошло после того, как был выбит первый мяч",быть пойманным
8258,4BRCZaaITn0,какого пола человек на видео,мужской
12425,WOkHZ33CgAs,что скрывается за белым человеком с короткими рукавами,дом
3665,_uPVFvEQocU,"Что случилось с человеком на видео после того, как корову поймали",выставка
9645,hHiPEAiYKv0,почему человек на видео убирает снег,не скользит
6575,kIjYdddY3Xk,что делает человек в белой рубашке,щетка обувь
15168,iZtie23nW_A,какого цвета машина человека в белом,красный
12071,mwDQENGsvd8,что случилось с ребенком после игры на барабанах,покинуть комнату
9923,GycRQhoHnXw,какой стиль у человека в розовом платье,прямые волосы
5429,vWz90CichbM,что под ногами у человека в сером,крыша
16288,4S09Z8HRtdo,"что случилось с человеком на видео после того, как он закончил класть на полку",степлер доска
5818,MU2DUVy_wqQ,какого пола человек в черной одежде,женский
4552,mW9iDH07j40,что на стене,Фото
7180,XNTy5ZTMqVU,какого пола человек в синем пальто,женский
9646,XLdqEn8pqis,какая спина у человека в желтой рубашке,стол
5516,RNxHKDlWAGQ,что перед спортсменом,отслеживать
18918,LrputIUn4oY,сколько у них китайских игроков,первый
1715,DmAOCYuMgtE,что делает человек в зеленой одежде,танец
7355,h-A3CAx_eyU,какого пола человек в шляпе,мужской
11737,9LraB2HBC0g,почему женщина с каштановыми волосами наносит крем для бритья,смягчить волосы
14821,Ke5MPiv-wrY,какого пола человек в желтых эластичных носках,мужской
11774,j6S6eWSeGr0,почему они должны красить забор,красота
3386,3JNNjd9fv7U,какого цвета волосы у женщины в белой одежде,коричневый
1219,xXTfM9xXFQM,человек в серой одежде мальчик или девочка,мужской
6622,BEA4YVQv7Wk,что чувствует человек на видео,счастливый
12611,VqeeqABnpQk,что выше танцора,осветительные приборы
4464,cSfs5ht9sro,что на руке у человека на видео,перчатка
4309,YOLDcsX7EiA,что перед человеком в красных штанах,снег
4563,_K88UOvtQPk,что написано на стене в видео,наклейка
9025,vlX9sU9bM9s,почему человек в зеленых туфлях метает копье,соответствовать
1592,FeWZkO6kZl0,что делает человек на видео,хоккей
7280,QR2BmWR5FGM,какого пола человек в серой рубашке,мужской
8130,9Ds9DvdPQkM,какого пола человек на видео,женский
8854,SxIJ6MjcgnY,в каком сезоне происходит видео,лето
4717,uJ_QCxMDfag,что перед человеком в черном пальто,газонокосилка
10914,Q_kqplOxytU,на какой руке на видео взрослый носит браслеты,верно
10211,5jaIcPomOuM,какой кот появляется на экране,тигровая пятнистая кошка
5929,b0LY869JBrE,что перед человеком на видео,стол
14492,MYzG-TsW8w8,какие отношения между двумя свингами,друг
11688,mnS-nMZne3I,"почему водолазы пинают трамплин перед тем, как войти в воду",прыгай выше
10033,7KYj4FQUESo,что находится внизу пылесоса,подушечки
14341,iyGve9RCjV4,"каковы отношения между двумя людьми, играющими на инструменте",друг
1379,SjfrdNchlqw,что делает человек в красной одежде,играть в азартные игры
7151,MhO48WnApoM,какого пола человек в черной одежде,мужской
4639,U_ZW0tTvf0k,что стоит за человеком в черном пальто,кровать
7203,wr_1p7obP-g,какого пола человек в синей одежде,мужской
7401,g-KEU43sCt4,какого пола человек в красном плаще,женский
10511,Q8iXOTXdy2Y,какие отношения между всеми спортсменами на поле,противник
10804,dAcdSkaoK64,какого пола человек с коричневой кожей,мужской
13649,IQvSj-3BGPo,что перед черной собакой,лужайка
13200,C7sabT8febk,какой цвет подложки на видео,белый
9990,3UgGvKnelfY,какое транспортное средство для перевозки битумной черепицы,вилочный погрузчик
2787,zwx1Kig4nXg,какого цвета волосы у человека в розовой одежде,коричневый
11120,exzuzQLrv7g,почему они исполняют фехтование,введение
11703,3YdmY4oPE5s,почему старик играет в деревянные мячи,физическое упражнение
10695,eChLCFAGyx0,где группа выступает,этап
4629,uwGcEaW3z3Q,что сзади у человека с ремнем,стул
9272,InA8Xbg-hvo,где женщина с длинными волосами,в помещении
6050,H80bs53Arrw,какого пола человек в белой одежде,женский
7829,yhWw7oJrUFo,какого пола человек в черной одежде,женский
15159,sx_npA4wRrw,какого цвета стены на кухне,белый
6185,XeC4nqBB5BM,какая прическа у человека в синей одежде,кудрявый
4855,Tab-dSCaMC8,что перед человеком в фиолетовой одежде,лошадь
12079,5mxY_p7N_Yw,почему игроки в видеоэкране поднимают шлем,говорить
1888,FrVitupq7sQ,что делает человек в черной одежде,играть в мяч
17278,6YvF2YHee5I,"что произошло после того, как человек на видео уронил лопату",снять камеру
9168,hpoReoD1vD0,где место на видео,дом
11910,eFq3gsEi9yI,почему человек на видео целится в цель,цель
7987,UzmnkYD5YTA,какого пола человек в очках,мужской
13753,8Mdnvm8olC0,что перед педалью,бункер
7480,ta4QlTBHTTw,какого пола человек в белой одежде,мужской
16375,Mk9n7isIyBs,"что случилось с человеком в черных штанах после того, как он поиграл с палкой",закончить работу
17624,60CCYfec2vQ,"что произошло до того, как человек на видео починил крышу",лопата
16639,OhPSVjVQZ8o,что происходит с человеком в белых шортах перед игрой,находиться у человека
1052,YAhMxt-3ciU,что делает человек в зеленой одежде,заниматься спортом
12996,5dXi-tAGqbs,какую марку обуви носит женщина в костюме,Найк
12087,gi0wjdtxaC4,"почему они должны наклоняться вперед, прежде чем перевернуться",помощь
2081,qRT0Z6Sz_Ck,что делает человек в клетчатой ​​рубашке,снять видео
12976,5JCqKshcfHE,что делает женщина в ванной,бриться
13058,tBGeBbO8gh0,какого цвета носят люди в желтых штанах,черный
11916,DxtISmKol2I,почему судья в перчатках,для безопасности
2047,UAgb3FEjBN8,что делает человек в синем пальто,ездить на мотоцикле
1751,FtbrPGaINt0,что делает человек в красной одежде,соответствовать
11401,19SHLOheCmo,почему мужчина на видео занимается тай-чи,физическое упражнение
2595,_akwfjIbsUA,какого цвета одежда у ребенка на видео,апельсин
12504,caPl3Aszru0,"что произошло после того, как спортсмен закончил прыгать через воду",Прими душ
3740,sOUNe30PXY4,что вокруг кольца,аудитория
6787,uaqcvxz_5fY,какие отношения между двумя людьми на видео,коллега
12555,Z8xxgFpK-NM,что спереди у человека в белых брюках,люди
2137,9029wVyGkvg,что делает человек в жилете,играть в баскетбол
4209,pu-2w-UxdYg,что перед человеком в белой одежде,стол
1106,snG89ed-64M,что делает человек в красной одежде,играть в мяч
7996,iMXdwkAGfM4,какого пола человек в очках,мужской
6386,v0cihSAXQbI,какого пола спортсмен,мужской
6214,NyNuB328oi0,какая прическа у человека в белой одежде,длинный
3488,GG_Bi89pNlg,что стоит за спортсменами,железное ограждение
14084,IY1bVy1yZv4,"Что делают мужчины, сидящие на земле?",ремонт велосипедов
9967,iiY3TE2O1QE,что делает команда в желтом,играть в футбол
10768,Kyo1nkGKRqw,какого пола человек в джинсовой рубашке,мужской
5170,RaYMOYWhba8,как сложно играть в футбол,обычно
7600,CzyMYAvKE2E,какая форма глаз у тыквы-светильника,треугольник
15797,HJZj6z1dyT4,"Что происходит после того, как черно-белый полосатый мужчина убегает",продолжать играть
14556,__mIAEE03bE,какая правая сторона у человека в желтой одежде,люди в черном
10968,deLpSUF1wio,кто на видео в шортах,люди в черном
15673,jLwUrFMRGzY,"что происходит после того, как ведущий закончил говорить",делать упражнения
6876,8NcRuVMSQLs,насколько безопасно это занятие по прыжкам в высоту,высокий
10738,tVIY6uyH3aA,где находится стена на видео,площадка
16389,K_AFdv3PKp0,что случилось с человеком в синей шляпе перед полировкой стены,удерживающая машина
10163,CGIrDfEP5lE,что делает девушка с волосами в видео,Ездить на машине
10392,6pY2zz2_CCU,в какой позе серый кот,ложь
9928,qbUQVhjQJ48,какой фасон кепки у раздетого человека,полная чаша
16535,-uICMT1yOcM,"Что происходит с человеком в розовой майке перед тем, как он съест мороженое",открытый рот
11329,ejIEsnkvLWY,"что происходит после того, как человек в синем играет на аккордеоне",падающая вода
4038,e9R62cyqW4A,что перед человеком в серой одежде,дорога
6414,Y7BBrdCwIJw,какого пола человек в очках,мужской
1278,2PAVJbmj2lQ,что делает человек в зеленой одежде,стрелять
1421,OhPSVjVQZ8o,что делает человек в белых шортах,играть
2550,h-_dzZ3cCfc,какого цвета мяч,желтый
1717,YoJxVl_hUWg,что делает человек в коричневой одежде,взять шину
15377,3W92sMbvoaE,что носит человек в зеленом шарфе на голове,шапка
18428,LrputIUn4oY,какого цвета китайский купальник,синий
7342,eD2SW7ibzmM,какого пола человек в шляпе,мужской
9775,gU67yCVXHnQ,"какого пола человек, чьи волосы причесаны на видео",женский
6567,GbvZWitR2_g,что делает человек в белой рубашке,воздушный змей
13377,8fqxUtHLyoE,какого цвета туфли у двух женщин в красном,черный
8110,-VKGwqL83w8,где люди в лягушачьих ботинках,морское дно
8169,IkbEC202hYg,где танцуют люди в костюмах,спортзал
6436,AdXXy6WTVi0,насколько безопасен этот вид спорта на видео,опасный
2853,qfCqVXhNPE8,какого цвета волосы у человека в зеленой одежде,черный
17439,CTxuJBTp_CQ,"Что случилось с человеком в очках до того, как он украсил елку",включить свет
3267,JgHubY5Vw3Y,какого цвета штаны у человека в клетчатой ​​одежде,коричневый
10239,FtbrPGaINt0,чем занимается человек который хлопает в видео,тренер
4034,pRzFL4_I-cE,что перед человеком в коричневой одежде,стол
11526,UAFIstY4a8Q,почему мужчина в черных жилетах представляет,Легко понять
7147,2bnO6YWXCiU,какого пола человек в черной одежде,мужской
8725,RgWvaKWa7YU,какого цвета обувь у человека в черном,кожаная одежда
16162,lroya8XhuPs,"что случилось с игроком под номером 7, когда репортер ударил по мячу головой",украденный мяч
1108,wvewX55VADs,что делает человек в красной одежде,учить людей танцевать
8717,LlgGMRw16UY,какие штаны носит человек в белом,короткий
5671,nfIM66dU_J0,насколько безопасен этот вид спорта на видео,безопасность
1541,HqxTRzf11tc,что делает спортсмен на видео,длинный прыжок
12722,8eGaK2mVEhY,какая левая сторона у человека в оранжевой одежде,ВПП
2913,5rtrGkZNfLo,какого цвета волосы у женщины в белой одежде,золотой
7383,NmmFlMtvE68,какого пола человек в фиолетовой одежде,женский
15780,rBgMeunuviE,"что происходит, когда человек справа немного опускается",снаряд
10328,eS1USHkyb2U,какими инструментами расчесывает волосы мужчина в полосатом свитере,зубная щетка
12723,Lg-mJS-BZZo,какая левая сторона у человека в фартуке,стена
8268,2NyOIsFJ3Tw,какого пола человек на видео,женский
10652,8e80cJTrJDs,насколько опасна велогонка,более опасно
10263,9-yueOtwiL8,"какой левый бок у первого спортсмена, бросившего бросок",блокировать
3652,lsIiSTG2pn4,что случилось с человеком в зеленом перед игрой в мяч,очередь
6347,L-A8RECKhtQ,что делает человек в черном,исполнитель
10217,IWHER8iS1B4,в какой одежде дети носят радужную одежду,короткий рукав
1455,MEU83dUao4g,что делает человек с татуировками,гвоздь язык гвоздь
2643,vP-wI1egoHA,какого цвета одежда у человека с повязкой на голове,розовый
17835,gY-8BUnSgf4,что делает человек в желтом в начале видео,боулинг
8462,h8J08sJ2no0,какие штаны носит человек в розовой одежде,брюки
17309,1LrEiYVd3qg,"что случилось с человеком в шляпе до того, как он зажег газету",влить в топливо
16892,lx83HHNNrlc,"что случилось с человеком в черном, прежде чем он вымыл пол",мыть шваброй
6657,EfQtRtIFGVo,какова цель этого видео,рекламировать
427,y47RXYfefvQ,что делает человек на видео,подмести снег
5592,r10jGF9lQYM,что перед мальчиком,удочка
1243,gCxLSh-cgng,что делает человек в черной футболке,играть в теннис
6554,GqWH2IYPw6U,что делает человек в сером пальто,играть на скрипке
2130,Vtnn6yJqHqM,что делает человек в костюме,играть на пианино
17307,32-Bxdbf3mQ,что случилось с человеком в шапке после того как он поехал,гулять с собакой
12546,p2RMXdo5avw,какая передняя часть красного шара,зеленый мяч
5978,aKJKZHvP53E,что перед человеком на видео,масса
16434,s_gb6Xi_J5g,"что случилось с человеком в синих штанах до того, как он упал на землю",свободная рука
7029,1zyyumIi0iQ,какого пола чирлидер,женский
1646,8WJWtfmEipI,что делает человек в черном,лопатой снег
5143,OOcsprnRCQQ,насколько сложно нырять,простой
18779,phDLuo6dYrk,насколько сложный хоккей в видео,трудный
9141,UKo5IFacUyE,"что случилось с человеком в джинсах до того, как он почистил ботинки",наступить на выключатель
7927,ku65ME0vW8s,какая обувь у детей,обувь для спортзала
12589,__mIAEE03bE,что находится рядом со снежной горой на видео,лес
6265,Sx7YgFLnwfM,что делает хозяин,интервью
2414,YL3MvJVk6u0,какого цвета комбинезон,синий
916,0PnAEoMx-v0,что делает человек на видео,играть на гитаре
3555,h61C_KfvG0Y,"что произошло до того, как человек в белом обернулся",разрывающий
88,tI87cD7sv-Y,насколько сложна деятельность по ношению контактных линз,трудный
12817,DDwBAbeGejE,какая правая сторона у человека в фиолетовой одежде,экран телевизора
11691,ul9kg5QdvJo,почему гости должны раздавать руки,получать
10082,cqkcRy3k4v0,что делает женщина в белом платье в начале видео,ездить на верблюде
11580,2Iakg-Z-iXM,"что произошло до того, как игрок выступил",положить палку
18166,5Vd6PEUWo64,что две женщины на видео делают в море,серфинг
13498,sC_hs-OXERg,как легко вытереть пол на видео,простой
12017,XfF30DaqAGU,почему мужчина в белых рубашках держит штангу,гиревой спорт
8513,Yi3xUQcaOnE,почему мужчина спрыгивает с лодки,кораблекрушение
1630,sra0ywgWITo,что делает мужчина на видео,борьба на запястье
15172,MkL-tApJgXc,какого цвета волосы у женщины в белом халате,серебро
7406,QGZN8aXpXHU,какого пола человек в красном плаще,мужской
10023,QgzpNg0Ponc,что внизу у человека в оранжевой куртке,кататься на коньках
1813,SfQku6CicrU,что делает человек в белом,умыть лицо
18316,tseeGOVN_eY,какого цвета волосы у мужчины в белом,черный
18844,AXDa8WmY2og,насколько сложный метод бритья на видео,простой
11894,2_Tgrk8iJpE,почему нет. 36 поднять руку,избежать нападения
2228,-ntEh6HpeX0,что делает человек в белом,залить моющее средство
4402,UJfwaeMrZ7A,что слева от человека в белой одежде,дерево
9144,VpfLfFtu0d8,где место на видео,кухня
517,bMRx3vSVZUQ,что делает человек на видео,серфинг
10631,KDPa4AvVt0s,где люди в красном тренируют мяч,детская площадка
2916,TIEzvhv6xaI,какого цвета волосы у игрока №3,черный
7189,t04jE7d0Obw,какого пола человек в синей одежде,мужской
949,dbLtukGqkhI,что делает человек в черном,воздушный змей
12781,VA8SXILXTj0,"что на тарелке, когда начинается видео",лимон
17839,rgrzN8ELIxI,что люди делают на море,серфинг
5503,KcSo4p-hhBs,что перед человеком в черном пальто,стол
4183,Yfg0bZbxjVg,что перед человеком в черной одежде,собака
14315,pRzFL4_I-cE,чем занимается человек в коричневой одежде,голландский чиновник
4343,0_BvBpwDMpU,что на полу,подушечки
889,4S09Z8HRtdo,что делает человек на видео,ограждение здания
18839,Pt0CjFgzpxM,какая сложная напольная плитка,трудность
3526,ORKAMBnsX64,что стоит за человеком в синем,толпа
1483,8hkVzhEKqpY,что делает спортсмен,волейбольный матч
8356,Tywf5EzWntY,какого пола серфер на видео,мужской
11619,hs81dVKvvdw,почему человек в полосках носит перчатки,здоровье
2277,V2MlQezL1IE,что делает человек в очках,учить волейбол
18893,_3hVtPVXTmg,насколько сложна гимнастика на турнике,трудность
12229,7c5vvEn3uLk,"что произошло после того, как всадник поймал корову веревкой",связать корову
14271,h5fX5z-unJc,что за человек в полосатой одежде,стол
3621,PcGzPNEnVD0,"что произошло после того, как мужчина объяснил",взять инструмент
2013,yHtapvYRcMw,что делает человек в синей одежде,соответствовать
8728,eFq3gsEi9yI,какая обувь у человека на видео,обувь для спортзала
3737,IV5llWEEfAw,что выше парусника,мачта
10925,EpLRCz5dwb0,какая рука мужчины метает копье в женщину в красном,правая рука
17984,9WXl-2sINno,что делает женщина с длинными волосами,тени для век
1246,tkQK_2celDY,что делает человек в черной футболке,гулять с собакой
14742,blMN_9ZtxsY,какого пола человек в красном галстуке,мужской
18287,lgwDuuJy2zY,какой цвет одежды носят люди на фотографии,синий
13625,3svMy4Kfjd8,что находится под ногой человека в черном спасательном жилете,доска для серфинга
8341,8BAn48zfc68,какого пола стоящий человек,женский
2951,IrTqW6Qn8mI,какого цвета газон,зеленый
15427,epZjMuRRXLo,что делает женщина в шляпе перед прыжком,дыхание
18857,Zso0ZBs2y6E,как сложно обои,обычно
7878,X2LI_I_qw-A,какого пола человек в белой одежде,женский
8863,nN1u9BVysQs,какую обувь носит человек в черной одежде,обувь для спортзала
3685,cSfs5ht9sro,что случилось с человеком на видео перед катанием на лыжах,гулять пешком
13967,DHfiz3MNbcc,что делает женщина в черной одежде,винная заправка
5668,kOVQPyzXkUY,что перед игроком в синей одежде,плоский ремень
11798,EVfTWz5GRGw,почему они используют хлопковую тонировку,экономия воды
2651,uqT5jtfx8x0,какого цвета одежда игрока №1,синий
8236,VcQHv5PHb-M,где мужчина в джинсах,в помещении
1159,BlfFKVGQbi8,что делает человек в белом,играть в игру
5053,b3bawTEPLtA,какого цвета одежда стоящего человека,черный
9068,RgWvaKWa7YU,когда было снято видео,день
17370,pmn8_4zKo7I,"что случилось с курильщиками после того, как они поболтали",кто-то прошел
8714,67NwPB79MTo,какие штаны носит человек в шляпе,короткий
1292,GyOLWizKXaE,что делает человек в зеленой одежде,сорняк
6431,Nq6cd5Xue9Q,насколько безопасен этот вид спорта на видео,вторичный
1075,0zXTrkgUj0U,что делает человек в зеленой одежде,чистый
9332,0_GpcrCLdag,где снято видео,рынок
8003,0drl-yrfBAA,в каком стиле костюм,длинный
10463,ieWgalZPc2g,какой рисунок флага персонала на финише,клетчатый флаг
16482,tJiYIajy41Q,"что происходит с человеком в зеленых и черных чулках перед тем, как он играет в футбол",жонглирование
12932,iDofsMwceTo,что стоит за седовласым человеком,отображать
15865,d83YCo6xLkk,"что происходит до того, как шляпник построил пляжный замок",нести песок
11933,iPPfX25MUQ0,почему верблюды приседают,отдых
16388,sjpWwjzCbrw,"что случилось с человеком в синей куртке до того, как он помыл руки",открутить кран
15759,agr3ZKq1Iso,"что происходит после того, как фиолетовая машина развернется",несчастный случай
3444,fnf7FbZkL6k,что было до того как человек на видео нарисовал,движущиеся шаги
18675,-uICMT1yOcM,какого цвета мороженое,коричневый
6457,rfWlK9njyzg,как называется игра,прыжок дом
7918,x08PpU3uQ6Y,какого пола человек в белой одежде,женский
15445,L-A8RECKhtQ,что толкает человек в черной одежде,газонокосилка
7953,kgPvfYhmn54,какого пола человек в желтых шортах,мужской
3894,x3cOxXOYbwA,что стоит за людьми в белых одеждах,стена
9516,DfOqhNeHDgM,что такое левая сторона человека в зеленой рубашке,белый мужчина
14345,agr3ZKq1Iso,какие отношения между детьми в синей машине,брат
12754,KxY2z_xDsO8,что такое левая сторона стола,стена
8330,cXw6os9Xk5c,каков пол сидящего человека,мужской
10997,hOdSTik8_nw,кто этот человек в синем платье на видео,тренер
10104,3_hJrb_aDWU,какая правая сторона желтой лодки,дашан
5748,FujUrbL1qc0,что перед человеком в рубашке,ограждение
10215,d40Tv56RrnA,какая одежда на корточках короткая стрижка женская одежда,короткий
9541,mHbsKzezfFQ,почему человек на видео расчесывает волосы,выпрямить волосы
15755,5j6j4NJkUXA,что происходит со спортсменом после лошади,делать ротацию
16187,f0CViWbj3V4,что случилось с женщиной до игры на барабанах,бить в барабан
3003,KvscV2XxyTE,какого цвета коврик,синий
10787,0ivHmKR8cUw,где место для настройки вина в видео,бар
14934,hg-wVv7XSFo,какого цвета лак для ногтей у человека в белом,красный
14041,0IN40z63WAU,что делает мужчина в начале видео,беговая дорожка
11229,nARkYpOZWyg,почему человек в синем должен сдувать листья,чистый трек
4413,rFTVKkMqpIQ,какого цвета штаны у стоящего человека,синий
9330,TtrDWeSW3mg,где салат сделан в видео,кухня
213,LE05u6TR9MI,как сложно играть в волейбол,обычно
3728,yfjnahzAPSc,что перед человеком в красной одежде,лужайка
4452,Cu8kOOnAjaw,что на лице старика,очки
7293,RcDEaYPwI6I,какого пола человек в зеленой одежде,женский
817,fllAtkXf7pw,что делает человек на видео,напиток
8823,mpLYUgMhacA,почему мужчина в темных очках носит шлем,защитить голову
9987,OmIcycXGkG8,что такое верхняя часть стола для настольного тенниса,лампа
14910,V3uCGRAWG2M,какого цвета штаны у человека в желтом,черный
2280,M-PQajs86Bo,что делает человек в очках,толчок качели
9419,NDWJOqVUGeA,где снято видео,открытый
6262,RI8IORq_BbY,какая прическа у стоящего человека,короткий
13868,xmK2kbPSGUs,какие волосы у человека в черной рубашке,черный
6692,THOVGzbo8w8,каковы отношения человека в синем и других людей,противник
1828,j_Xr8nLEjLQ,что делает человек в черной одежде,слэклайн
10698,xXTfM9xXFQM,каков фактор безопасности для этого вида развлечений,Опасность
11442,dcmfRooP6dg,почему мужчина на видео хочет рисовать,хобби
13092,MhO48WnApoM,какого цвета шапка у человека в черной одежде,серый
8122,kkcTQHFNXAg,где женщина сделала двойной шест,парк
12464,0X34KkUlCAI,что спереди у человека в красном жилете,веревка
4515,2WzsyEvhPPI,что находится с правой стороны стола,лопата
8001,MewROhYmQP0,каков пол игрока №1,мужской
11275,e51ld7ANyQg,"что происходит с кистью для завивки после того, как завивка была снята",поверхность трения
1784,9ZnJyY_-Hzw,что делает человек в серой одежде,слэклайн
11168,0ivHmKR8cUw,почему мужчина в черном платье после выпивки пьет лимон,делать красоту
12389,g_T8qK7qTFI,что стоит за человеком в полицейской форме,транспортное средство
13238,Q8iXOTXdy2Y,какого цвета волосы у человека в голубом жилете,желтый
6474,zPu3JBSPa94,какого пола человек в синем,женский
3306,-s1MQAiOMeY,какого цвета парус,белый
16331,PntiXZ692xM,что случилось с человеком в черном после побега,Прими душ
17083,fRLDhkPqrTE,"Что случилось с человеком в цветочном костюме до того, как он начал играть на пианино",кивок
1433,DG9-yffcXS4,что делает человек в желтой одежде,поменять крышу
10139,_nTjmHQ0-gQ,что под ногами у человека в черном,ВПП
17779,HVD8N0bbPVo,какие животные есть в видео,собака
6759,G00TjQ7JJ8Y,что под человеком в красной одежде,лошадь
9158,bu7zk-YxEoY,где место на видео,спортзал
6599,Ue90f5r-2Qw,какого пола человек на видео,мужской
3733,j4vMVBSfyu0,что перед человеком в черном,цель
1143,xm01x3C3RJo,что делает человек в красном халате,купаться
5626,avxSMcGBdG8,что перед домом,лужайка
1515,2j-DRUk2yCs,что делает спортсмен,гимнастика
8131,hgTgOjkcvpc,какого пола человек на видео,мужской
10477,ienRkMdn_OM,какими инструментами мужчина чистит лошадей на видео,щетка
10206,485Wn1DXt5U,что за машина синяя машина,грузовик
516,N4Z9eYSu2uM,что делает человек на видео,перетягивание каната
14025,ATBbNtNlBnY,что используется в видео для протирки жидкости на приборе,ткань
2791,QBy64z68s0w,какого цвета волосы у человека в красной одежде,коричневый
6324,L-A8RECKhtQ,что стоит за человеком в черном,номер пять
17477,CGz-ghbUXvk,"Что произошло после того, как дверь была открыта",внешний вид невесты
995,xOGOd2UJaMY,что делает человек в черных штанах,играть в игру
8833,b5GJUtjiWkQ,в каком сезоне происходит видео,лето
5771,kuyuhXuMPX4,что перед человеком в очках,снежная земля
18630,69SYd5feEBQ,какого цвета волосы у старика,белый
14490,XQ0_P0LpCFM,каковы отношения между двумя группами игроков в видео,противник
18508,rF1AqlLjECk,какого цвета платье нет. 23 игрока,синий
5455,q4FZTmaqEx8,что под ногами у человека в зеленой одежде,крыша
13875,LlhgIOYsxsE,какая прическа у героини видео,длинные волосы
16498,9UGNhbRWM14,что случилось с человеком в сером до крюка,круг
16272,mG8h5rX3OnU,"что случилось с человеком на видео до того, как он наряжал елку",переместить дерево
16572,Np43Q2E8GCE,"Что случилось с человеком в красном до того, как постелили ковер",выбрал ковер
2701,dAiqJJKezPE,какого цвета машина,белый
6249,Zm32ORZly10,какая прическа у девушки в синей одежде,длинный
10293,z93quI8Gxx4,какие штаны носят люди синего цвета,джинсы
14209,DbZ0ns9s2X0,какая ручка используется для людей в видео,широкая кисть
18218,5sl-E-AwptI,какого цвета мужчина в белых штанах,белый
11618,nDRaXY5ddPs,почему мужчина в кроссовках хочет волочить пол,чистить
5685,zf4MXHeiSXs,что перед человеком в серой одежде,песок
10307,SnZnAVuMn4M,что держит в руке человек в длинном рукаве,волейбол
18354,56sQMnSUWaI,какого цвета балансовое дерево,желтый
18110,qm1dudWLlUg,что парень делает с синими клюшками,обновить
11352,NzxZdC-63LE,"что происходит, когда парень в серых штанах поворачивается",не устойчивый
8764,VSdjLyGA8Oc,какие штаны носит человек в красной одежде,короткий
18861,m1pNOYN-DoI,как сложно бросить мяч в чашку,простой
18147,0hfKWxuVT5k,"какие инструменты использует человек в видео, чтобы грести на каноэ",весло
11997,KlmlCbJup5A,почему мужчина в синих рубашках трется о стену,сделать стену гладкой
5866,6AwS8vWMwSA,что перед человеком в платье,стол
9197,tqanHyXTFFw,где место на видео,прибегнуть
6765,0y4mO86t4Z0,что под человеком в красной одежде,лошадь
602,CteuM2BUmHo,что делает человек на видео,гладкий цемент
1845,xcI2e5T_BL0,что делает человек в черной одежде,выдолбленный арбуз
5664,xUUmAdQJgjg,насколько безопасен этот вид спорта на видео,Опасность
7697,swId_MFHywI,какого пола человек с черными волосами,мужской
205,r82RY124wVY,насколько сложна игра в теннис,общий
6052,8ATFQNEWHL0,что находится перед стоящим человеком,стол
15723,jnnHUCs-t3o,"что происходит после того, как соперник получил мяч в игре",начать защиту
14529,Ej_a4iCd45I,какая связь между человеком в красных шортах и ​​человеком в зеленых шортах,противник
1671,eD2SW7ibzmM,что делает человек в шляпе,танец
17454,ER0UPx6-VcM,"что случилось с женщиной с косичками до того, как она ударила по мячу",объяснить детали
17202,8kNk_fzmTyI,"что случилось с человеком на видео до того, как он ушел в воду",снять пальто
6138,vvoqG7UQsdc,какая прическа у человека в красной одежде,короткий
17162,AQSiBbhLBhs,что случилось с человеком на видео после расчесывания волос,запах волос
10197,MO8Dfz2Lp3w,каким мячом играет человек в синих шортах,футбол
701,NB4IBjUmrcI,что делает человек на видео,мешок с песком
11641,zKYqEsVfEnU,почему мужчина в желтых брюках лежит на коврике,защитить талию
1234,ThRbaI4pGIs,что делает человек в черных штанах,серфинг
13272,nX-GvQmf5Tc,какого цвета шляпа человека в белом,черный
6834,kgPvfYhmn54,что находится справа от реки,дерево
12996,6V6XB0KmYkk,что хорошо для хоккея,координация
3774,52tZGZGuWP4,что стоит за мужчиной на видео,стол
7738,dnJLvsqqSgQ,что внизу у ребенка в черных шортах,песок
18223,Mgy7IRETxSk,какого цвета одежда барабанщика,черный
872,_I8sqYLhRKM,что делает человек на видео,подметание листьев
5090,MyqWp3ipXxA,насколько сложно это занятие,трудность
17320,Y-SehqCvzME,"что случилось с человеком на видео после того, как он сыграл на гитаре",петь
7398,jYphKtLFIUk,какого пола человек в красном плаще,мужской
8671,4BRCZaaITn0,какая прическа у человека на видео,сокращение персонала
6583,qkN9uA8izVE,что делает человек в белой рубашке,запястья
1378,Tg3FU9Ro6KQ,что делает человек в красной одежде,лак для ногтей
16103,8vcO5DRxP6c,"что произошло перед тем, как спортсмен бросил бросок",объезжать
3112,54K2F3zAZ0o,какого цвета волосы у человека в желтой одежде,черный
307,9khzc3a4zz0,человек на видео мальчик или девочка,женский
6205,h3GLEcwSvD4,какая прическа у человека в фиолетовой одежде,короткий
16786,61sN9tqZHwk,что случилось с собакой до участия в конкурсе,заниматься моделированием
9105,_n0cR3Oshxg,где человек на видео,дом
1188,pu-2w-UxdYg,что делает человек в белом,чистый стол
14895,1oaJBEdY6ao,какого цвета куртка у мужчины на мотоцикле на видео,черный
6610,M6yAoJJQvGY,чем занимается человек на видео,тренер по фитнесу
8848,yGCklVOLgk8,в каком сезоне происходит видео,лето
9369,fs-goyuhTi8,что делают цветы и бабушка,съемки фильма
